,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
2,AIF360,54,1,18,1,979
4,alibi,52,1,16,0,564
5,asteroid,67,1,24,0,84
8,brainiak,52,1,13,1,541
15,donkeycar,67,1,20,0,591
16,espresso,19,1,5,0,8
18,fairseq,40,1,13,0,25
20,fathom,42,1,13,1,26
24,garage,66,1,17,0,1447
25,gempy,31,1,7,0,36
26,gobbli,60,1,24,0,534
30,hummingbird,22,1,10,1,23
31,hyperpose,26,1,9,0,1038
34,interpret-text,21,1,10,0,23
43,melusine,72,1,29,0,1473
44,mesh,12,1,4,1,954
52,openvino,456,1,173,0,4541
53,PARL,120,1,37,0,279
54,persephone,18,1,7,1,491
57,pytorch_wavelets,28,1,11,0,49
58,rl-agents,13,1,5,0,12
59,RMDL,17,1,15,1,987
61,snorkel,37,1,15,0,31
64,TextRecognitionDataGenerator,26,1,11,1,663
65,tpot,32,1,14,0,28
66,transfer-nlp,14,1,5,0,14
